fips,state,county,rent_2br,median_price,breakeven_rent,monthly_gap,verdict
16059,Idaho,Lemhi County,992.0,384160.0,1600.6666666666667,-608.6666666666667,RENT
16061,Idaho,Lewis County,973.0,390637.0,1627.654166666667,-654.6541666666669,RENT
16063,Idaho,Lincoln County,973.0,535559.0,2231.4958333333334,-1258.4958333333334,RENT
16065,Idaho,Madison County,1105.0,767571.0,3198.2125,-2093.2125,RENT
16067,Idaho,Minidoka County,1022.0,471414.0,1964.2250000000001,-942.2250000000001,RENT
16069,Idaho,Nez Perce County,1220.0,595130.0,2479.7083333333335,-1259.7083333333335,RENT
16071,Idaho,Oneida County,1096.0,499494.0,2081.225,-985.2249999999999,RENT
16073,Idaho,Owyhee County,1655.0,943844.0,3932.683333333334,-2277.683333333334,RENT
16075,Idaho,Payette County,1071.0,414463.0,1726.9291666666668,-655.9291666666668,RENT
16077,Idaho,Power County,973.0,480310.0,2001.2916666666667,-1028.2916666666667,RENT
16079,Idaho,Shoshone County,1128.0,469343.0,1955.5958333333335,-827.5958333333335,RENT
16081,Idaho,Teton County,1323.0,827687.0,3448.6958333333337,-2125.6958333333337,RENT
16083,Idaho,Twin Falls County,1284.0,534791.0,2228.2958333333336,-944.2958333333336,RENT
16085,Idaho,Valley County,1190.0,471040.0,1962.6666666666667,-772.6666666666667,RENT
16087,Idaho,Washington County,1127.0,332693.0,1386.2208333333335,-259.22083333333353,RENT
17001,Illinois,Adams County,1064.0,270189.0,1125.7875000000001,-61.787500000000136,RENT
17003,Illinois,Alexander County,992.0,390536.0,1627.2333333333333,-635.2333333333333,RENT
17005,Illinois,Bond County,916.0,205991.0,858.2958333333335,57.70416666666654,BUY
17007,Illinois,Boone County,1175.0,268283.0,1117.8458333333335,57.15416666666647,BUY
17009,Illinois,Brown County,1063.0,246048.0,1025.2,37.799999999999955,BORDERLINE
17011,Illinois,Bureau County,1035.0,168021.0,700.0875000000001,334.9124999999999,BUY
17015,Illinois,Carroll County,916.0,370855.0,1545.2291666666667,-629.2291666666667,RENT
17017,Illinois,Cass County,916.0,255035.0,1062.6458333333333,-146.64583333333326,RENT
17019,Illinois,Champaign County,1122.0,170820.0,711.75,410.25,BUY
17021,Illinois,Christian County,974.0,273514.0,1139.6416666666667,-165.64166666666665,RENT
17023,Illinois,Clark County,1009.0,346547.0,1443.9458333333334,-434.94583333333344,RENT
17025,Illinois,Clay County,916.0,290228.0,1209.2833333333335,-293.28333333333353,RENT
17029,Illinois,Coles County,965.0,348560.0,1452.3333333333333,-487.33333333333326,RENT
17033,Illinois,Crawford County,916.0,257351.0,1072.2958333333333,-156.29583333333335,RENT
17035,Illinois,Cumberland County,916.0,172025.0,716.7708333333334,199.22916666666663,BUY
